6100,3700
6000,3700
5900,3700
5800,3700
5700,3700
5600,3700
5500,3700
5400,3700
5300,3700
5200,3700
5100,3700
5000,3700
4900,3700
4800,3700
4700,3700
4600,3700
4500,3700
4400,3700
4300,3700
4200,3700
4100,3700
4000,3700
3900,3700
3800,3700
3700,3700
3600,3700
3500,3700
3400,3700
3300,3700
3200,3700
3100,3700
3000,3700
2900,3700
2800,3700
2700,3700
2600,3700
2500,3700
2400,3700
2300,3700
2200,3700
2100,3700
2000,3700
1900,3700
1800,3700
1700,3700
1600,3700
1500,3700
1400,3700
1300,3700
1200,3700
1100,3700
1000,3700
900,3700
800,3700
700,3700
600,3700
500,3700
400,3700
300,3700
200,3700
100,3700
0,3700
